date,h00922,spread,s2_score,signal_used,nav,cash,shares,position,exposure,trade_action
2014-10-16,3425.16,1.1853000000000002,0.9904761904761904,,115166.81289799318,0.0,33.6237760857867,1.0,1.0,NONE
2014-10-17,3401.14,1.2104,0.9968354430379748,,114359.16979641258,0.0,33.6237760857867,1.0,1.0,NONE
2014-10-20,3431.21,1.2578999999999998,1.0,,115370.23674331218,0.0,33.6237760857867,1.0,1.0,NONE
2014-10-21,3401.42,1.2950000000000004,1.0,,114368.58445371661,0.0,33.6237760857867,1.0,1.0,NONE
2014-10-22,3372.66,1.2433999999999998,0.9937304075235108,,113401.56465348937,0.0,33.6237760857867,1.0,1.0,NONE
2014-10-23,3333.2,1.2539000000000002,0.99375,,112074.77044914423,0.0,33.6237760857867,1.0,1.0,NONE
2014-10-24,3335.43,1.2714000000000003,0.9968847352024922,,112149.75146981553,0.0,33.6237760857867,1.0,1.0,NONE
2014-10-27,3327.3,1.3461,1.0,,111876.3901702381,0.0,33.6237760857867,1.0,1.0,NONE
2014-10-28,3402.84,1.3029000000000002,0.9969040247678018,,114416.33021575843,0.0,33.6237760857867,1.0,1.0,NONE
2014-10-29,3463.17,1.2633,0.9876543209876544,,116444.85262701394,0.0,33.6237760857867,1.0,1.0,NONE
2014-10-30,3493.88,1.158,0.9569230769230768,,117477.43879060844,0.0,33.6237760857867,1.0,1.0,NONE
2014-10-31,3523.71,1.0764999999999998,0.9355828220858896,,118480.43603124746,0.0,33.6237760857867,1.0,1.0,NONE
2014-11-03,3553.31,1.1407000000000005,0.9510703363914372,0.9355828220858896,119475.69980338674,0.0,33.6237760857867,1.0,1.0,NONE
2014-11-04,3551.39,1.198,0.9664634146341464,,119411.14215330203,0.0,33.6237760857867,1.0,1.0,NONE
2014-11-05,3542.41,1.2542999999999995,0.9817629179331308,,119109.20064405167,0.0,33.6237760857867,1.0,1.0,NONE
2014-11-06,3561.52,1.2398999999999996,0.9727272727272728,,119751.75100505105,0.0,33.6237760857867,1.0,1.0,NONE
2014-11-07,3545.03,1.3038000000000003,0.9969788519637462,,119197.29493739644,0.0,33.6237760857867,1.0,1.0,NONE
2014-11-10,3624.07,1.2334999999999998,0.966867469879518,,121854.91819921702,0.0,33.6237760857867,1.0,1.0,NONE
2014-11-11,3567.9,1.1592000000000002,0.9429429429429428,,119966.27069647837,0.0,33.6237760857867,1.0,1.0,NONE
2014-11-12,3624.1,1.0972,0.9191616766467066,,121855.92691249958,0.0,33.6237760857867,1.0,1.0,NONE
2014-11-13,3604.18,1.0645000000000002,0.9104477611940298,,121186.14129287071,0.0,33.6237760857867,1.0,1.0,NONE
2014-11-14,3588.52,1.0209000000000006,0.8988095238095238,,120659.59295936729,0.0,33.6237760857867,1.0,1.0,NONE
2014-11-17,3598.29,1.0399000000000005,0.9050445103857568,,120988.09725172543,0.0,33.6237760857867,1.0,1.0,NONE
2014-11-18,3583.04,1.1568999999999994,0.9378698224852072,,120475.33466641718,0.0,33.6237760857867,1.0,1.0,NONE
2014-11-19,3568.24,1.1711999999999998,0.943952802359882,,119977.70278034754,0.0,33.6237760857867,1.0,1.0,NONE
2014-11-20,3569.82,1.1334999999999995,0.9205882352941176,,120030.8283465631,0.0,33.6237760857867,1.0,1.0,NONE
2014-11-21,3617.29,1.0731999999999997,0.9032258064516128,,121626.94899735537,0.0,33.6237760857867,1.0,1.0,NONE
2014-11-24,3679.68,1.1945999999999994,0.953216374269006,,123724.7363873476,0.0,33.6237760857867,1.0,1.0,NONE
2014-11-25,3744.25,1.0886999999999998,0.9067055393586004,,125895.82360920685,0.0,33.6237760857867,1.0,1.0,NONE
2014-11-26,3770.33,1.0173999999999994,0.875,,126772.73168952417,0.0,33.6237760857867,1.0,1.0,NONE
2014-11-27,3782.99,0.9783999999999996,0.863768115942029,,127198.40869477023,0.0,33.6237760857867,1.0,1.0,NONE
2014-11-28,3827.5,0.8134999999999999,0.7196531791907514,,128695.0029683486,0.0,33.6237760857867,1.0,1.0,NONE
2014-12-01,3842.63,0.8184000000000005,0.723342939481268,0.7196531791907514,129203.73070052656,51681.49228021063,20.17426565147202,0.6,0.6,SELL
2014-12-02,3926.86,0.6149000000000004,0.5344827586206896,,130903.00909635004,51681.49228021063,20.17426565147202,0.6,0.6051924807765808,NONE
2014-12-03,3969.51,0.5595999999999997,0.4813753581661891,,131763.44152638532,51681.49228021063,20.17426565147202,0.6,0.6077706252848479,NONE
2014-12-04,4102.78,0.2867000000000002,0.2171428571428571,,134452.065909757,51681.49228021063,20.17426565147202,0.6,0.6156139964788733,NONE
2014-12-05,4070.52,0.0100999999999999,0.0769230769230769,,133801.24409984052,51681.49228021063,20.17426565147202,0.6,0.6137443068791897,NONE
2014-12-08,4174.02,-0.0876999999999998,0.0568181818181818,,135889.2805947679,51681.49228021063,20.17426565147202,0.6,0.6196794033053368,NONE
2014-12-09,4018.57,0.2219999999999999,0.1501416430594901,,132753.19099924655,51681.49228021063,20.17426565147202,0.6,0.6106949151941369,NONE
2014-12-10,4189.02,0.1629,0.1242937853107344,,136191.89457953995,51681.49228021063,20.17426565147202,0.6,0.6205244633701226,NONE
2014-12-11,4222.62,0.1950999999999996,0.1408450704225352,,136869.7499054294,51681.49228021063,20.17426565147202,0.6,0.6224038378391126,NONE
2014-12-12,4243.98,0.1713999999999997,0.1264044943820224,,137300.67221974483,51681.49228021063,20.17426565147202,0.6,0.6235889348196618,NONE
2014-12-15,4279.45,0.3450000000000002,0.2801120448179272,,138016.25342240254,51681.49228021063,20.17426565147202,0.6,0.6255405359973221,NONE
2014-12-16,4345.43,0.2538,0.1983240223463687,,139347.3514700867,51681.49228021063,20.17426565147202,0.6,0.6291175129273631,NONE
2014-12-17,4381.72,0.1282000000000001,0.1030640668523676,,140079.4755705786,51681.49228021063,20.17426565147202,0.6,0.6310559268608122,NONE
